Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
148,Final Fantasy XII,15,2006.0,4,2,1.88,0.0,2.33,1.74,0.1983333333333333
151,LEGO Star Wars: The Complete Saga,5,2007.0,8,2,3.66,1.63,0.0,0.53,0.1943333333333333
170,Final Fantasy XIII,16,2009.0,4,2,1.74,1.24,1.87,0.52,0.1786666666666666
179,Tomb Raider II,14,1997.0,8,2,2.3,2.46,0.2,0.28,0.1746666666666666
181,Dragon Quest VIII: Journey of the Cursed King,15,2004.0,4,2,0.65,0.75,3.61,0.2,0.1736666666666666
205,Warzone 2100,14,1999.0,11,2,2.79,1.89,0.0,0.33,0.1669999999999999
213,LEGO Star Wars: The Complete Saga,9,2007.0,8,2,2.89,1.54,0.0,0.46,0.1633333333333333
230,Tomb Raider,14,1996.0,8,2,2.29,1.97,0.13,0.24,0.1543333333333333
256,Kingdom Hearts II,15,2005.0,4,2,2.2,0.58,1.38,0.17,0.1443333333333333
263,Batman: Arkham Asylum,16,2009.0,8,2,2.23,1.34,0.07,0.61,0.1416666666666666
333,Resident Evil 3: Nemesis,14,1999.0,8,2,1.3,0.77,1.54,0.11,0.124
353,Star Wars: Battlefront,15,2004.0,6,2,1.93,1.22,0.03,0.44,0.1203333333333333
358,Star Wars: Battlefront II,15,2005.0,6,2,2.18,1.02,0.03,0.37,0.1196666666666666
359,WWF SmackDown!,14,2000.0,9,2,2.01,1.35,0.06,0.16,0.1193333333333333
363,Tomb Raider III: Adventures of Lara Croft,14,1997.0,8,2,1.66,1.58,0.12,0.18,0.118
365,LEGO Star Wars: The Video Game,15,2005.0,8,2,1.98,1.14,0.01,0.41,0.1176666666666666
368,Rugrats in Paris: The Movie,14,2000.0,8,2,1.96,1.33,0.0,0.23,0.1173333333333333
376,Batman: Arkham Asylum,12,2009.0,8,2,2.2,0.97,0.02,0.31,0.1166666666666666
401,Rugrats: Search For Reptar,14,1998.0,10,2,1.63,1.53,0.0,0.18,0.1113333333333333
407,Star Wars Episode III: Revenge of the Sith,15,2005.0,8,2,1.47,1.39,0.03,0.43,0.1106666666666666
424,WWF SmackDown! 2: Know Your Role,14,2000.0,9,2,1.76,1.21,0.07,0.16,0.1066666666666666
425,Crisis Core: Final Fantasy VII,18,2007.0,4,2,1.35,0.6,0.8,0.44,0.1063333333333333
435,Club Penguin: Elite Penguin Force,9,2008.0,10,2,1.88,0.98,0.0,0.3,0.1053333333333333
461,Epic Mickey,5,2010.0,2,2,2.06,0.64,0.12,0.22,0.1013333333333333
462,Saints Row 2,12,2008.0,8,2,1.94,0.8,0.02,0.27,0.1009999999999999
467,WWE SmackDown! Shut Your Mouth,15,2002.0,1,2,1.45,1.13,0.07,0.38,0.1006666666666666
483,Hitman 2: Silent Assassin,15,2002.0,8,2,1.36,1.15,0.04,0.41,0.0986666666666666
487,WWE SmackDown! vs. RAW 2006,15,2005.0,9,2,1.45,1.11,0.04,0.33,0.098
519,WWE SmackDown! vs. Raw,15,2002.0,9,2,1.32,1.08,0.04,0.39,0.0943333333333333
521,Finding Nemo,8,2003.0,8,2,1.59,1.05,0.04,0.14,0.094
525,WWE SmackDown! Here Comes the Pain,15,2003.0,9,2,1.32,1.06,0.04,0.38,0.0933333333333333
526,Star Wars: The Force Unleashed,12,2008.0,8,2,1.74,0.8,0.0,0.26,0.0933333333333333
531,WWF SmackDown! Just Bring It,15,2001.0,9,2,1.19,1.15,0.04,0.41,0.093
544,Saints Row: The Third,12,2011.0,8,2,1.25,1.15,0.07,0.3,0.0923333333333333
557,LEGO Star Wars II: The Original Trilogy,15,2006.0,8,2,1.85,0.64,0.01,0.19,0.0896666666666666
564,Final Fantasy XIII-2,16,2011.0,4,2,0.78,0.75,0.89,0.26,0.0893333333333333
570,Hannah Montana,9,2006.0,8,2,1.59,0.8,0.0,0.26,0.0883333333333333
576,LEGO Star Wars: The Complete Saga,12,2007.0,8,2,1.53,0.87,0.0,0.24,0.088
597,WWE SmackDown vs. RAW 2007,15,2006.0,9,2,1.4,0.88,0.03,0.26,0.086
613,Tomb Raider (2013),16,2013.0,8,2,0.6,1.31,0.08,0.52,0.0836666666666666
617,Saints Row: The Third,16,2011.0,8,2,0.86,1.06,0.18,0.39,0.083
622,Pure,12,2008.0,3,2,1.38,0.85,0.0,0.25,0.0826666666666666
623,Tomb Raider: The Last Revelation,14,1998.0,8,2,1.15,1.14,0.06,0.13,0.0826666666666666
628,uDraw Studio,5,2010.0,12,2,1.67,0.58,0.0,0.2,0.082
659,LEGO Star Wars: The Complete Saga,16,2007.0,8,2,1.02,0.97,0.0,0.39,0.0793333333333333
661,WCW/nWo Revenge,3,1998.0,9,2,1.94,0.39,0.03,0.02,0.0793333333333333
668,The Incredibles,15,2004.0,8,2,0.96,1.08,0.04,0.3,0.079
675,Dragon Warrior Monsters,7,1998.0,4,2,0.0,0.0,2.34,0.01,0.0783333333333333
678,WWE SmackDown vs Raw 2008,15,2007.0,9,2,0.92,0.0,0.01,1.41,0.078
693,Guild Wars 2,20,2012.0,8,2,0.95,1.06,0.0,0.29,0.0766666666666666
696,Tomb Raider II,20,1997.0,8,2,0.91,1.25,0.0,0.13,0.0763333333333333
704,Star Wars: The Force Unleashed,16,2008.0,8,2,1.01,0.9,0.0,0.37,0.076
721,Dissidia: Final Fantasy,18,2008.0,9,2,0.51,0.51,0.91,0.32,0.075
741,High School Musical: Makin' the Cut!,9,2007.0,5,2,1.06,0.91,0.0,0.23,0.0733333333333333
743,Saints Row,12,2006.0,8,2,1.17,0.78,0.02,0.22,0.073
747,Hitman: Absolution,16,2012.0,8,2,0.59,1.07,0.07,0.45,0.073
749,ATV Offroad Fury 2,15,2002.0,3,2,1.92,0.2,0.0,0.06,0.0726666666666666
754,Final Fantasy XIII,12,2010.0,4,2,1.27,0.68,0.01,0.2,0.0723333333333333
773,Toy Story 3: The Video Game,9,2010.0,8,2,0.93,0.97,0.02,0.21,0.0706666666666666
774,Final Fantasy III,9,2006.0,4,2,0.91,0.05,1.07,0.09,0.0706666666666666
785,Dynasty Warriors 4,15,2003.0,8,2,0.63,0.21,1.13,0.13,0.0703333333333333
788,Scooby-Doo! Night of 100 Frights,15,2002.0,2,2,1.17,0.72,0.0,0.22,0.07
795,Finding Nemo,15,2003.0,8,2,1.26,0.6,0.05,0.18,0.0696666666666666
802,Tetris Worlds,15,2002.0,5,2,1.11,0.71,0.0,0.27,0.0693333333333333
811,Kingdom Hearts: Birth by Sleep,18,2010.0,4,2,0.63,0.42,0.75,0.26,0.0689999999999999
812,UFC 2009 Undisputed,12,2009.0,9,2,1.48,0.39,0.0,0.19,0.0689999999999999
819,The Incredibles,8,2004.0,8,2,1.15,0.77,0.04,0.1,0.0686666666666666
831,Kingdom Hearts 358/2 Days,9,2009.0,4,2,1.11,0.27,0.53,0.14,0.068
876,Star Wars: Dark Forces,20,1994.0,6,2,1.09,0.77,0.0,0.09,0.065
880,Who wants to be a millionaire,20,1999.0,12,2,1.94,0.0,0.0,0.0,0.0646666666666666
881,Scooby Doo and the Cyber Chase,14,2001.0,10,2,0.59,1.23,0.0,0.13,0.0646666666666666
895,Tomb Raider (2013),12,2013.0,8,2,0.86,0.87,0.01,0.17,0.064
899,Red Faction,15,2001.0,6,2,0.76,0.96,0.0,0.2,0.064
901,MX Unleashed,15,2004.0,3,2,0.94,0.73,0.0,0.25,0.064
903,Toy Story Mania!,5,2009.0,12,2,1.06,0.67,0.0,0.18,0.064
905,Star Wars: The Force Unleashed,5,2008.0,8,2,1.14,0.57,0.0,0.19,0.0636666666666666
908,LEGO Star Wars III: The Clone Wars,5,2011.0,8,2,1.08,0.66,0.0,0.17,0.0636666666666666
909,Star Wars Rogue Leader: Rogue Squadron II,4,2001.0,7,2,1.03,0.75,0.03,0.09,0.0633333333333333
919,WCW Nitro,14,1998.0,9,2,1.42,0.36,0.03,0.07,0.0626666666666666
920,High School Musical: Sing It!,15,2007.0,12,2,0.47,0.08,0.0,1.33,0.0623333333333333
923,Dynasty Warriors 3,15,2001.0,8,2,0.53,0.16,1.07,0.1,0.0623333333333333
933,Phineas and Ferb,9,2009.0,8,2,1.34,0.37,0.0,0.15,0.062
939,Kingdom Hearts: Chain of Memories,8,2004.0,4,2,1.26,0.18,0.35,0.06,0.0616666666666666
946,2 Games in 1: Sonic Advance & ChuChu Rocket!,8,2005.0,12,2,1.31,0.49,0.0,0.03,0.061
949,Just Cause 3,17,2015.0,8,2,0.46,1.02,0.07,0.28,0.061
974,Dragon Quest Monsters: Joker,9,2006.0,4,2,0.23,0.03,1.49,0.03,0.0593333333333333
975,SpongeBob SquarePants: SuperSponge,14,2001.0,8,2,1.12,0.58,0.0,0.08,0.0593333333333333
978,Just Cause 2,16,2010.0,8,2,0.45,0.94,0.06,0.33,0.0593333333333333
982,High School Musical: Sing It!,5,2007.0,12,2,1.16,0.45,0.0,0.16,0.059
988,UFC 2009 Undisputed,16,2009.0,9,2,1.07,0.45,0.01,0.24,0.059
991,The SpongeBob SquarePants Movie,15,2004.0,2,2,1.06,0.54,0.0,0.16,0.0586666666666666
999,Hitman: Absolution,12,2012.0,8,2,0.68,0.9,0.01,0.17,0.0586666666666666
1000,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,8,2007.0,8,2,1.26,0.47,0.0,0.03,0.0586666666666666
1006,Kingdom Hearts,16,2013.0,4,2,0.9,0.37,0.25,0.24,0.0583333333333333
