Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
88,Final Fantasy VIII,14,1999.0,4,3,2.28,1.72,3.63,0.23,0.262
90,Pac-Man,21,1982.0,5,3,7.28,0.45,0.0,0.08,0.2603333333333333
118,Zumba Fitness,5,2010.0,1,3,3.5,2.64,0.0,0.67,0.2269999999999999
139,Driver,14,1999.0,8,3,3.11,2.8,0.02,0.33,0.209
152,Resident Evil 2,14,1998.0,8,3,1.88,1.47,2.02,0.45,0.194
154,Cooking Mama,9,2006.0,7,3,3.13,1.94,0.07,0.58,0.1906666666666666
168,Crash Bandicoot: The Wrath of Cortex,15,2001.0,2,3,2.07,2.29,0.24,0.82,0.1806666666666666
174,Final Fantasy IX,14,2000.0,4,3,1.62,0.77,2.78,0.14,0.1766666666666666
196,Guitar Hero II,15,2006.0,12,3,3.81,0.63,0.0,0.68,0.1706666666666666
202,Resident Evil,14,1996.0,8,3,2.05,1.16,1.11,0.73,0.1683333333333333
224,Driver 2,14,2000.0,8,3,2.36,2.1,0.02,0.25,0.1576666666666666
225,The Simpsons: Hit & Run,15,2003.0,3,3,1.73,2.19,0.0,0.79,0.1566666666666666
243,Dragon Quest VII: Warriors of Eden,14,2000.0,4,3,0.2,0.14,4.1,0.02,0.149
259,Asteroids,21,1980.0,6,3,4.0,0.26,0.0,0.05,0.1436666666666666
277,Teenage Mutant Ninja Turtles,1,1989.0,8,3,3.38,0.44,0.31,0.04,0.1389999999999999
279,Frogger,14,1997.0,8,3,3.79,0.27,0.0,0.11,0.1386666666666666
282,Half-Life,20,1997.0,6,3,4.03,0.0,0.09,0.0,0.1373333333333333
313,Dragon Warrior III,1,1988.0,4,3,0.1,0.0,3.77,0.0,0.129
326,Resident Evil Director's Cut,14,1996.0,8,3,1.82,1.24,0.47,0.25,0.1256666666666666
354,Doom II: Hell on Earth,20,1994.0,6,3,2.05,1.4,0.0,0.16,0.1203333333333333
356,Cooking Mama 2: Dinner With Friends,9,2007.0,7,3,1.61,1.5,0.1,0.39,0.1203333333333333
360,Croc: Legend of the Gobbos,14,1997.0,2,3,1.57,1.79,0.0,0.2,0.1186666666666666
390,Final Fantasy III,2,1994.0,4,3,0.86,0.0,2.55,0.02,0.114
398,WWF War Zone,14,1998.0,9,3,2.47,0.76,0.0,0.13,0.112
427,Dragon Quest VI: Maboroshi no Daichi,2,1995.0,4,3,0.0,0.0,3.19,0.0,0.1063333333333333
