Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1277,New Play Control! Mario Power Tennis,5,2009.0,1,1,0.37,0.69,0.28,0.14,0.0493333333333333
2948,Shrek the Third,12,2007.0,8,1,0.54,0.1,0.0,0.06,0.023
12188,Petz: Hamsterz Bunch,18,2009.0,7,1,0.06,0.0,0.0,0.01,0.0023333333333333
1483,Pokemon Ranger: Guardian Signs,9,2010.0,4,1,0.51,0.17,0.58,0.06,0.0443333333333333
13746,Deadly Arts,3,1998.0,9,1,0.03,0.01,0.0,0.0,0.0013333333333333
12477,Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,18,2010.0,8,1,0.0,0.0,0.06,0.0,0.002
10250,Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,8,2004.0,10,1,0.0,0.0,0.11,0.0,0.0036666666666666
8488,ESPN College Hoops,15,2003.0,1,1,0.08,0.06,0.0,0.02,0.0053333333333333
7967,MotoGP,5,2009.0,3,1,0.05,0.11,0.0,0.02,0.0063333333333333
13798,Famicom Mini: Clu Clu Land,8,2004.0,5,1,0.0,0.0,0.04,0.0,0.0013333333333333
1286,Tom Clancy's Splinter Cell: Pandora Tomorrow,11,2004.0,8,1,0.82,0.59,0.0,0.07,0.0493333333333333
8406,Densetsu no Stafi 4,9,2006.0,2,1,0.0,0.0,0.17,0.0,0.0056666666666666
11287,RockMan EXE 4.5 Real Operation,8,2004.0,4,1,0.0,0.0,0.08,0.0,0.0026666666666666
14878,X-Men Origins: Wolverine - Uncaged Edition,20,2009.0,8,1,0.02,0.0,0.0,0.0,0.001
724,Teenage Mutant Ninja Turtles II: The Arcade Game,1,1990.0,8,1,1.74,0.25,0.21,0.03,0.0743333333333333
13404,Tokyo Ghoul: Jail,19,2015.0,3,1,0.0,0.0,0.05,0.0,0.0016666666666666
9438,Shaman King: Power of Spirit,15,2004.0,10,1,0.06,0.05,0.0,0.02,0.0043333333333333
12878,WTA Tour Tennis,15,2001.0,1,1,0.03,0.02,0.0,0.01,0.0016666666666666
2009,LEGO Marvel Super Heroes,13,2013.0,8,1,0.61,0.34,0.0,0.09,0.0346666666666666
5495,Extra Bases,7,1990.0,1,1,0.0,0.0,0.33,0.0,0.011
5317,Xbox Music Mixer,11,2003.0,12,1,0.26,0.08,0.0,0.01,0.0116666666666666
2269,Sonic Riders,4,2006.0,3,1,0.71,0.18,0.0,0.03,0.0306666666666666
