Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10,Duck Hunt,1,1984.0,6,1,26.93,0.63,0.28,0.47,0.9436666666666668
11,Nintendogs,9,2005.0,7,1,9.07,11.0,1.93,2.75,0.8253333333333334
12,Mario Kart DS,9,2005.0,3,1,9.81,7.57,4.13,1.92,0.7806666666666667
13,Pokemon Gold/Pokemon Silver,7,1999.0,4,1,9.0,6.18,7.2,0.71,0.77
14,Wii Fit,5,2007.0,1,1,8.94,8.03,3.6,2.15,0.7573333333333333
15,Wii Fit Plus,5,2009.0,1,1,9.09,8.59,2.53,1.79,0.7333333333333333
16,Kinect Adventures!,12,2010.0,12,1,14.97,4.94,0.24,1.67,0.7273333333333334
17,Grand Theft Auto V,16,2013.0,8,1,7.01,9.27,0.97,4.14,0.7133333333333333
18,Grand Theft Auto: San Andreas,15,2004.0,8,1,9.43,0.4,0.41,10.57,0.6936666666666667
19,Super Mario World,2,1990.0,2,1,12.78,3.75,3.54,0.55,0.6869999999999999
20,Brain Age: Train Your Brain in Minutes a Day,9,2005.0,12,1,4.75,9.26,4.16,2.05,0.6739999999999999
21,Pokemon Diamond/Pokemon Pearl,9,2006.0,4,1,6.42,4.52,6.04,1.37,0.612
22,Super Mario Land,7,1989.0,2,1,10.83,2.71,4.18,0.42,0.6046666666666667
23,Super Mario Bros. 3,1,1988.0,2,1,9.54,3.44,3.84,0.46,0.5760000000000001
24,Grand Theft Auto V,12,2013.0,8,1,9.63,5.31,0.06,1.38,0.5459999999999999
25,Grand Theft Auto: Vice City,15,2002.0,8,1,8.41,5.49,0.47,1.78,0.5383333333333333
26,Pokemon Ruby/Pokemon Sapphire,8,2002.0,4,1,6.06,3.9,5.38,0.5,0.5283333333333333
27,Pokemon Black/Pokemon White,9,2010.0,4,1,5.57,3.28,5.65,0.82,0.5106666666666667
28,Brain Age 2: More Training in Minutes a Day,9,2005.0,5,1,3.44,5.36,5.32,1.18,0.51
29,Gran Turismo 3: A-Spec,15,2001.0,3,1,6.85,5.09,1.87,1.16,0.4993333333333333
30,Call of Duty: Modern Warfare 3,12,2011.0,6,1,9.03,4.28,0.13,1.32,0.492
31,Pokémon Yellow: Special Pikachu Edition,7,1998.0,4,1,5.89,5.04,3.12,0.59,0.488
32,Call of Duty: Black Ops,12,2010.0,6,1,9.67,3.73,0.11,1.13,0.488
33,Pokemon X/Pokemon Y,10,2013.0,4,1,5.17,4.05,4.34,0.79,0.4783333333333333
34,Call of Duty: Black Ops 3,17,2015.0,6,1,5.77,5.81,0.35,2.31,0.4746666666666667
35,Call of Duty: Black Ops II,16,2012.0,6,1,4.99,5.88,0.65,2.52,0.4676666666666666
36,Call of Duty: Black Ops II,12,2012.0,6,1,8.25,4.3,0.07,1.12,0.4576666666666666
37,Call of Duty: Modern Warfare 2,12,2009.0,6,1,8.52,3.63,0.08,1.29,0.4503333333333333
38,Call of Duty: Modern Warfare 3,16,2011.0,6,1,5.54,5.82,0.49,1.62,0.4486666666666667
39,Grand Theft Auto III,15,2001.0,8,1,6.99,4.51,0.3,1.3,0.4366666666666666
40,Super Smash Bros. Brawl,5,2008.0,9,1,6.75,2.61,2.66,1.02,0.4346666666666666
41,Call of Duty: Black Ops,16,2010.0,6,1,5.98,4.44,0.48,1.83,0.4243333333333333
42,Animal Crossing: Wild World,9,2005.0,7,1,2.55,3.52,5.33,0.88,0.409
43,Mario Kart 7,10,2011.0,3,1,4.74,3.91,2.67,0.89,0.407
44,Halo 3,12,2007.0,6,1,7.97,2.83,0.13,1.21,0.4046666666666667
45,Grand Theft Auto V,17,2014.0,8,1,3.8,5.81,0.36,2.02,0.3993333333333334
46,Pokemon HeartGold/Pokemon SoulSilver,9,2009.0,8,1,4.4,2.77,3.96,0.77,0.3966666666666666
47,Super Mario 64,3,1996.0,2,1,6.91,2.85,1.91,0.23,0.3963333333333333
48,Gran Turismo 4,15,2004.0,3,1,3.01,0.01,1.1,7.53,0.3886666666666666
49,Super Mario Galaxy,5,2007.0,2,1,6.16,3.4,1.2,0.76,0.384
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,10,2014.0,4,1,4.23,3.37,3.08,0.65,0.3776666666666666
51,Super Mario Land 2: 6 Golden Coins,7,1992.0,10,1,6.16,2.04,2.69,0.29,0.3726666666666666
52,Grand Theft Auto IV,12,2008.0,8,1,6.76,3.1,0.14,1.03,0.3673333333333333
53,Gran Turismo,14,1997.0,3,1,4.02,3.87,2.54,0.52,0.365
54,Super Mario 3D Land,10,2011.0,2,1,4.89,2.99,2.13,0.78,0.3596666666666666
55,Gran Turismo 5,16,2010.0,3,1,2.96,4.88,0.81,2.12,0.359
56,Call of Duty: Modern Warfare 2,16,2009.0,6,1,4.99,3.69,0.38,1.63,0.3563333333333333
57,Grand Theft Auto IV,16,2008.0,8,1,4.76,3.76,0.44,1.62,0.3523333333333333
58,Super Mario All-Stars,2,1993.0,2,1,5.99,2.15,2.12,0.29,0.3516666666666667
59,Pokemon FireRed/Pokemon LeafGreen,8,2004.0,4,1,4.34,2.65,3.15,0.35,0.3496666666666667
60,Super Mario 64,9,2004.0,2,1,5.08,3.11,1.25,0.98,0.3473333333333333
