Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4893,Danball Senki,18,2011.0,4,3,0.0,0.0,0.39,0.0,0.013
114,Need for Speed Underground 2,15,2004.0,3,1,2.71,3.02,0.08,1.09,0.23
11395,FIFA Soccer 2005,8,2004.0,1,1,0.06,0.02,0.0,0.0,0.0026666666666666
7340,College Hoops 2K7,12,2006.0,1,1,0.2,0.0,0.0,0.02,0.007
482,Kirby Super Star Ultra,9,2008.0,2,1,1.57,0.04,1.19,0.15,0.0986666666666666
5203,Big Bass World Championship,14,1997.0,1,3,0.2,0.14,0.0,0.02,0.012
12828,Airline Tycoon 2,20,2011.0,7,2,0.0,0.04,0.0,0.01,0.0016666666666666
15073,La Corda d'Oro 4,19,2016.0,8,2,0.0,0.0,0.02,0.0,0.0006666666666666
8403,Mega Man Network Transmission,4,2003.0,2,1,0.13,0.03,0.0,0.0,0.0056666666666666
16058,Winning Post 7 Maximum 2008,15,2008.0,1,2,0.0,0.0,0.01,0.0,0.0003333333333333
11375,Super Monkey Ball Adventure,18,2006.0,2,1,0.05,0.02,0.0,0.01,0.0026666666666666
7772,Pac-Man & Galaga Dimensions,10,2011.0,12,1,0.1,0.04,0.04,0.01,0.0063333333333333
7413,ClayFighter 63 1/3,3,1997.0,9,3,0.17,0.04,0.0,0.0,0.007
13114,All Star Tennis 99,3,1999.0,1,1,0.04,0.01,0.0,0.0,0.0016666666666666
10446,Agatha Christie: The ABC Murders,9,2009.0,10,3,0.08,0.01,0.0,0.01,0.0033333333333333
16077,Umihara Kawase Jun: Second Edition Kanzenban,9,2009.0,5,3,0.0,0.0,0.01,0.0,0.0003333333333333
1883,Madden NFL 2004,11,2003.0,1,1,1.02,0.02,0.0,0.05,0.0363333333333333
1021,Sonic Colors,5,2010.0,2,1,0.96,0.61,0.01,0.16,0.058
13225,Beastly Frantic Foto,9,2011.0,5,3,0.04,0.0,0.0,0.0,0.0016666666666666
1174,Jampack Summer 2K,14,2000.0,12,1,0.88,0.6,0.0,0.1,0.0526666666666666
1274,Buzz! The BIG Quiz,15,2006.0,12,1,0.0,1.1,0.0,0.39,0.0496666666666666
2285,Glover,3,1998.0,2,3,0.72,0.17,0.0,0.01,0.0303333333333333
15535,Kamen Rider: Battride War II,6,2014.0,8,1,0.0,0.0,0.02,0.0,0.0006666666666666
4287,Star Wars: Demolition,14,2000.0,3,1,0.25,0.17,0.0,0.03,0.0153333333333333
10211,Trauma Center: Under the Knife 2,9,2008.0,7,3,0.1,0.0,0.0,0.01,0.0036666666666666
16587,Bust-A-Move 3000,4,2003.0,5,1,0.01,0.0,0.0,0.0,0.0003333333333333
6267,Mr. Do!,21,1982.0,8,3,0.26,0.02,0.0,0.0,0.009
10342,Dynasty Warriors Advance,8,2005.0,8,1,0.08,0.03,0.0,0.0,0.0036666666666666
9996,Sphinx and the Cursed Mummy,11,2003.0,8,2,0.09,0.02,0.0,0.0,0.004
8524,N2O: Nitrous Oxide,14,1998.0,3,3,0.09,0.06,0.0,0.01,0.0053333333333333
13239,Barnyard,8,2006.0,8,2,0.03,0.01,0.0,0.0,0.0016666666666666
7972,Samurai Warriors 2: Empires,15,2006.0,8,2,0.0,0.0,0.19,0.0,0.0063333333333333
14823,Steins;Gate 0,16,2015.0,10,3,0.0,0.0,0.03,0.0,0.001
13819,Ookami to Koushinryou: Boku to Horo no Ichinen,9,2008.0,10,3,0.0,0.0,0.04,0.0,0.0013333333333333
6066,Trivial Pursuit,16,2009.0,12,1,0.12,0.12,0.0,0.05,0.0096666666666666
5105,Mini Ninjas,5,2009.0,8,2,0.17,0.17,0.0,0.04,0.0123333333333333
4833,Atari Anthology,15,2004.0,12,3,0.33,0.01,0.0,0.05,0.0133333333333333
16490,Slotter Mania P: Tetsuya Shinjuku vs Ueno,18,2010.0,12,3,0.0,0.0,0.01,0.0,0.0003333333333333
11741,In The Groove,15,2005.0,12,3,0.04,0.03,0.0,0.01,0.0023333333333333
1934,World Tour Soccer,18,2005.0,1,1,0.1,0.63,0.0,0.34,0.0356666666666666
5613,OverBlood,14,1996.0,8,1,0.05,0.04,0.21,0.02,0.0106666666666666
2506,James Bond 007: Nightfire,11,2002.0,6,1,0.58,0.22,0.0,0.03,0.0273333333333333
14638,Stellaris,20,2016.0,11,1,0.0,0.03,0.0,0.0,0.001
13925,Don Bradman Cricket 14,13,2015.0,1,3,0.0,0.04,0.0,0.0,0.0013333333333333
8051,International Superstar Soccer 2000 (JP weekly sales),3,1999.0,1,1,0.0,0.0,0.18,0.0,0.006
12068,Command & Conquer 3: Tiberium Wars,20,2007.0,11,1,0.0,0.06,0.0,0.01,0.0023333333333333
16415,Time Leap,12,2009.0,10,3,0.0,0.0,0.01,0.0,0.0003333333333333
11037,How to Train Your Dragon 2,6,2014.0,10,3,0.04,0.05,0.0,0.01,0.003
9552,Teenage Mutant Ninja Turtles 2: Battle Nexus,11,2004.0,8,1,0.1,0.03,0.0,0.0,0.0043333333333333
14530,Muv-Luv Alternative: Total Eclipse,16,2013.0,7,3,0.0,0.0,0.03,0.0,0.001
4670,Castlevania: The Dracula X Chronicles,18,2007.0,2,1,0.22,0.09,0.04,0.07,0.014
11754,Hakuouki DS,9,2010.0,10,3,0.0,0.0,0.07,0.0,0.0023333333333333
6656,Madagascar: Escape 2 Africa,12,2008.0,8,1,0.12,0.1,0.0,0.03,0.0083333333333333
9397,Castrol Honda Superbike Racing,14,1998.0,3,2,0.07,0.05,0.0,0.01,0.0043333333333333
11703,Genkai Totsuki Moero Chronicle,19,2014.0,4,3,0.0,0.0,0.08,0.0,0.0026666666666666
8043,Shape Up,13,2014.0,12,1,0.08,0.09,0.0,0.01,0.006
8033,Lips: Party Classics,12,2010.0,12,1,0.05,0.11,0.0,0.02,0.006
10545,Inazuma Eleven GO Strikers 2013,5,2012.0,4,3,0.0,0.0,0.1,0.0,0.0033333333333333
8119,Dark Souls II,20,2014.0,4,1,0.08,0.08,0.0,0.02,0.006
10808,MX SuperFly featuring Ricky Carmichael,11,2002.0,3,2,0.07,0.02,0.0,0.0,0.0033333333333333
11095,Burnout Paradise: The Ultimate Box,16,2009.0,3,1,0.0,0.06,0.01,0.02,0.003
12220,Gundam Try Age SP,10,2014.0,11,1,0.0,0.0,0.07,0.0,0.0023333333333333
9786,Blazblue: Continuum Shift Extend,19,2011.0,9,3,0.03,0.05,0.02,0.02,0.004
11846,The Wolf Among Us,13,2014.0,10,3,0.05,0.02,0.0,0.01,0.0023333333333333
10329,Hysteria Hospital: Emergency Ward,9,2009.0,8,3,0.1,0.0,0.0,0.01,0.0036666666666666
7431,Way of the Samurai 3,12,2009.0,8,3,0.12,0.05,0.02,0.02,0.007
2033,Petz: Catz 2,9,2007.0,7,1,0.51,0.4,0.0,0.11,0.034
11320,Bomberman Jetters,4,2002.0,5,3,0.06,0.02,0.0,0.0,0.0026666666666666
11799,Tokimeki Memorial Girl's Side Premium: 3rd Story,18,2012.0,10,1,0.0,0.0,0.07,0.0,0.0023333333333333
402,Assassin's Creed IV: Black Flag,12,2013.0,8,1,1.9,1.14,0.01,0.29,0.1113333333333333
12463,X-Men: Destiny,9,2011.0,8,1,0.05,0.01,0.0,0.0,0.002
5205,NBA 2K6,11,2005.0,8,1,0.27,0.08,0.0,0.01,0.012
15167,Evolution Snowboarding,15,2002.0,1,1,0.01,0.01,0.0,0.0,0.0006666666666666
2244,Pokken Tournament,6,2016.0,9,1,0.47,0.22,0.16,0.07,0.031
9150,The Granstream Saga,14,1997.0,4,1,0.08,0.05,0.0,0.01,0.0046666666666666
370,Left 4 Dead,12,2008.0,6,1,2.66,0.5,0.05,0.3,0.1173333333333333
9995,Dead Island Definitive Collection,17,2016.0,8,1,0.02,0.07,0.01,0.02,0.004
15139,Shonen Jump's One Piece: Grand Adventure,15,2005.0,9,1,0.01,0.01,0.0,0.0,0.0006666666666666
4481,Naruto: Ultimate Ninja 3,15,2005.0,9,3,0.36,0.01,0.0,0.06,0.0146666666666666
16472,Lucian Bee's: Resurrection Supernova,15,2009.0,10,3,0.0,0.0,0.01,0.0,0.0003333333333333
3726,Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,15,2002.0,4,3,0.0,0.0,0.54,0.0,0.018
8697,Block Party,5,2008.0,12,1,0.14,0.0,0.0,0.01,0.0053333333333333
1411,Gardening Mama,9,2009.0,5,3,0.8,0.43,0.01,0.13,0.046
16251,Gokuhou!! Mecha Mote Iinchou: Girls Motekawa Box,9,2009.0,7,1,0.0,0.0,0.01,0.0,0.0003333333333333
13131,Dr. Seuss: Green Eggs and Ham,8,2003.0,8,3,0.04,0.01,0.0,0.0,0.0016666666666666
5448,Pandora's Tower,5,2011.0,4,1,0.13,0.1,0.08,0.03,0.011
14601,Driver: Parallel Lines,5,2007.0,3,1,0.01,0.01,0.0,0.0,0.001
7736,Nostalgia,9,2008.0,4,2,0.16,0.0,0.02,0.01,0.0063333333333333
16146,Harry Potter and the Chamber of Secrets,20,2002.0,8,1,0.0,0.01,0.0,0.0,0.0003333333333333
8220,Broken Sword: Shadows of the Templars - The Director's Cut,9,2009.0,10,1,0.07,0.09,0.0,0.02,0.0056666666666666
584,FIFA Soccer 10,12,2009.0,1,1,0.59,1.79,0.01,0.23,0.0873333333333333
15052,Totally Spies! 2: Undercover,9,2006.0,8,3,0.01,0.01,0.0,0.0,0.0006666666666666
5471,Hulk,11,2003.0,8,3,0.25,0.07,0.0,0.01,0.011
7896,Shaun White Skateboarding,5,2010.0,1,1,0.14,0.03,0.0,0.01,0.0063333333333333
9244,Puyo Puyo!! 20th Anniversary,9,2011.0,5,1,0.0,0.0,0.14,0.0,0.0046666666666666
217,God of War III,16,2010.0,8,1,2.74,1.36,0.12,0.63,0.1613333333333333
2056,NERF N-Strike Elite,5,2009.0,6,1,0.93,0.0,0.0,0.07,0.0333333333333333
9269,Avatar: The Last Airbender - The Burning Earth,12,2007.0,8,2,0.11,0.01,0.0,0.01,0.0046666666666666
11295,The Spiderwick Chronicles,9,2008.0,8,3,0.08,0.0,0.0,0.01,0.0026666666666666
5556,Dragon Ball Z: Extreme Butoden,10,2015.0,9,1,0.12,0.03,0.16,0.02,0.011
9590,Derby Stallion Advance,8,2002.0,1,3,0.0,0.0,0.12,0.0,0.0043333333333333
5372,Chicken Riot,5,2010.0,8,3,0.15,0.16,0.0,0.03,0.0113333333333333
15218,Galaxy Angel II: Eigou Kaiki no Koku,15,2009.0,11,3,0.0,0.0,0.02,0.0,0.0006666666666666
809,Skate 3,16,2010.0,1,1,0.79,0.94,0.0,0.35,0.0693333333333333
2539,Super Bomberman 2,2,1994.0,5,3,0.0,0.0,0.81,0.0,0.027
7103,TRON: Evolution - Battle Grids,5,2010.0,3,2,0.18,0.03,0.0,0.02,0.0076666666666666
11376,Zatch Bell! Mamodo Battles,15,2005.0,9,1,0.04,0.03,0.0,0.01,0.0026666666666666
5625,Minute to Win It,12,2011.0,12,3,0.3,0.0,0.0,0.02,0.0106666666666666
10751,Descent Maximum,14,1997.0,6,3,0.05,0.04,0.0,0.01,0.0033333333333333
9984,Brunswick Pro Bowling,10,2011.0,1,3,0.11,0.0,0.0,0.01,0.004
9098,Naruto Shippuden: Ninja Destiny 3,9,2006.0,9,2,0.0,0.01,0.13,0.0,0.0046666666666666
585,NBA 2K12,12,2011.0,1,1,2.31,0.14,0.01,0.16,0.0873333333333333
4394,NBA Live 2005,4,2004.0,1,1,0.35,0.09,0.0,0.01,0.015
5428,Persona 5,17,2016.0,4,3,0.0,0.0,0.34,0.0,0.0113333333333333
5403,Football Manager Handheld 2008,18,2007.0,1,1,0.0,0.34,0.0,0.0,0.0113333333333333
6329,Battle of Giants: Mutant Insects,9,2010.0,11,1,0.09,0.15,0.0,0.03,0.009
8909,Nancy Drew: The White Wolf of Icicle Creek,5,2008.0,10,1,0.14,0.0,0.0,0.01,0.005
761,Volleyball,1,1987.0,1,1,0.14,0.03,1.98,0.0,0.0716666666666666
9204,Barbie Explorer,14,2001.0,2,3,0.08,0.05,0.0,0.01,0.0046666666666666
5200,NHL 2K10,5,2009.0,1,1,0.33,0.01,0.0,0.03,0.012
