Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2649,Resident Evil: Operation Raccoon City,12,2012.0,8,1,0.55,0.15,0.03,0.06,0.026
3393,CyberTiger,14,1998.0,1,1,0.33,0.22,0.0,0.04,0.0196666666666666
14144,Tour de France 2014,17,2014.0,1,1,0.0,0.03,0.0,0.0,0.001
8295,Shin Megami Tensei IV: Final,10,2016.0,4,1,0.03,0.0,0.14,0.0,0.0056666666666666
11655,Madden NFL 08,4,2007.0,1,1,0.06,0.02,0.0,0.0,0.0026666666666666
15906,Portable Island: Tenohira Resort,18,2006.0,7,1,0.0,0.0,0.02,0.0,0.0006666666666666
9368,NTRA Breeders' Cup World Thoroughbred Championships,15,2005.0,7,1,0.07,0.05,0.0,0.02,0.0043333333333333
10624,The Bard's Tale,11,2004.0,4,1,0.08,0.02,0.0,0.0,0.0033333333333333
1929,Super Princess Peach,9,2005.0,2,1,0.72,0.06,0.21,0.07,0.0356666666666666
9803,Killer is Dead,12,2013.0,8,1,0.08,0.02,0.01,0.01,0.004
1785,Tenchu: Wrath of Heaven,15,2003.0,8,1,0.44,0.34,0.25,0.11,0.038
2990,Fossil Fighters: Champions,9,2010.0,4,1,0.32,0.0,0.34,0.02,0.0226666666666666
7629,Shining Hearts,18,2010.0,4,1,0.0,0.0,0.2,0.0,0.0066666666666666
5983,Kurohyou: Ryu ga Gotoku Shinshou,18,2010.0,10,1,0.0,0.0,0.29,0.0,0.0096666666666666
2688,Sonic Unleashed,15,2008.0,2,1,0.37,0.04,0.0,0.36,0.0253333333333333
1466,MVP Baseball 2004,15,2004.0,1,1,1.1,0.06,0.0,0.18,0.0446666666666666
7758,Petz Pony: Beauty Pageant,9,2009.0,7,1,0.18,0.0,0.0,0.01,0.0063333333333333
12513,Marvel Super Heroes,25,1997.0,9,1,0.0,0.0,0.06,0.0,0.002
460,Far Cry 3,12,2012.0,6,1,1.38,1.35,0.02,0.28,0.1013333333333333
11871,Winning Eleven Playmaker 2010: Aoki Samurai no Chousen,5,2010.0,1,1,0.0,0.0,0.07,0.0,0.0023333333333333
2168,Shinobi,15,2002.0,2,1,0.36,0.28,0.22,0.09,0.032
15017,SimCity Societies,20,2007.0,7,1,0.0,0.02,0.0,0.0,0.0006666666666666
13562,Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic,15,2006.0,10,1,0.0,0.0,0.04,0.0,0.0013333333333333
13654,Doki Doki! PreCure Narikiri Life!,10,2013.0,8,1,0.0,0.0,0.04,0.0,0.0013333333333333
9327,Queen's Gate: Spiral Chaos,18,2011.0,4,1,0.0,0.0,0.14,0.0,0.0046666666666666
8621,MLB 11: The Show,18,2011.0,1,1,0.15,0.0,0.0,0.01,0.0053333333333333
