Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3968,Chopper Command,21,1982.0,6,1,0.47,0.03,0.0,0.01,0.0166666666666666
6406,Knockout Kings 2002,11,2002.0,1,1,0.2,0.06,0.0,0.01,0.009
15386,Samurai & Dragons,19,2012.0,8,1,0.0,0.0,0.02,0.0,0.0006666666666666
16332,Element Hunter,9,2009.0,4,1,0.0,0.0,0.01,0.0,0.0003333333333333
10718,The BIGS 2,18,2009.0,1,1,0.09,0.0,0.0,0.01,0.0033333333333333
8632,Just Dance: Disney Party,12,2012.0,12,1,0.13,0.02,0.0,0.01,0.0053333333333333
14025,SD Gundam Force: Showdown!,15,2004.0,6,1,0.02,0.01,0.0,0.0,0.0013333333333333
3170,Konami Collector's Series: Arcade Advanced,8,2002.0,12,1,0.46,0.17,0.0,0.01,0.0213333333333333
3627,God of War: Origins Collection,16,2011.0,8,1,0.39,0.08,0.02,0.06,0.0186666666666666
1772,Qix,7,1990.0,5,1,0.51,0.2,0.41,0.03,0.0383333333333333
6120,Metal Gear Solid V: Ground Zeroes,13,2014.0,8,1,0.15,0.11,0.0,0.02,0.0093333333333333
3456,Kinect Sports Rivals,13,2014.0,1,1,0.3,0.22,0.02,0.04,0.0193333333333333
16256,Doraemon Wii: Himitsu Douguou Ketteisen!,5,2007.0,12,1,0.0,0.0,0.01,0.0,0.0003333333333333
7178,Petz Rescue: Endangered Paradise,9,2008.0,10,1,0.21,0.0,0.0,0.02,0.0073333333333333
234,Mario & Sonic at the Olympic Winter Games,5,2009.0,1,1,1.89,1.99,0.22,0.48,0.1526666666666666
4281,Jak and Daxter: The Lost Frontier,15,2009.0,2,1,0.22,0.17,0.0,0.06,0.0153333333333333
5375,Harry Potter and the Deathly Hallows - Part 2,12,2011.0,8,1,0.19,0.12,0.0,0.03,0.0113333333333333
3575,Tony Hawk's Project 8,18,2006.0,1,1,0.41,0.08,0.0,0.07,0.0186666666666666
86,Mario & Sonic at the Olympic Games,5,2007.0,1,1,2.58,3.9,0.66,0.91,0.2686666666666666
7135,Spec Ops: The Line,20,2012.0,6,1,0.11,0.09,0.0,0.03,0.0076666666666666
8578,Major League Baseball 2K11,5,2011.0,1,1,0.15,0.0,0.0,0.01,0.0053333333333333
2113,Tetris 2,1,1993.0,5,1,0.62,0.13,0.21,0.02,0.0326666666666666
7429,Famicom Mini: Ganbare Goemon! Karakuri Douchuu,8,2004.0,2,1,0.0,0.0,0.2,0.01,0.007
171,Dr. Mario,7,1989.0,5,1,2.18,0.96,2.0,0.2,0.178
3119,SingStar Pop Hits,15,2007.0,12,1,0.0,0.5,0.0,0.15,0.0216666666666666
1729,Ratchet & Clank (2016),17,2016.0,2,1,0.32,0.64,0.04,0.18,0.039
3570,Classic NES Series: Dr. Mario,8,2004.0,5,1,0.31,0.11,0.13,0.01,0.0186666666666666
7822,NBA Live 14,13,2013.0,1,1,0.16,0.02,0.0,0.01,0.0063333333333333
15807,Call of Duty: Modern Warfare Trilogy,12,2016.0,6,1,0.01,0.01,0.0,0.0,0.0006666666666666
14893,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken 2,15,2007.0,12,1,0.0,0.0,0.03,0.0,0.001
8881,Soldier of Fortune: Payback,16,2007.0,6,1,0.12,0.02,0.0,0.01,0.005
11326,Disney's Donald Duck: Goin' Quackers,15,2000.0,2,1,0.04,0.03,0.0,0.01,0.0026666666666666
1748,SingStar,16,2007.0,12,1,0.45,0.58,0.0,0.13,0.0386666666666666
3331,Littlest Pet Shop: Jungle,9,2008.0,7,1,0.34,0.2,0.0,0.06,0.0203333333333333
59,Pokemon FireRed/Pokemon LeafGreen,8,2004.0,4,1,4.34,2.65,3.15,0.35,0.3496666666666667
1615,Ninja Gaiden,11,2004.0,8,1,0.92,0.2,0.07,0.04,0.041
14456,Dance Dance Revolution: Hottest Party 5,5,2011.0,12,1,0.0,0.03,0.0,0.0,0.001
52,Grand Theft Auto IV,12,2008.0,8,1,6.76,3.1,0.14,1.03,0.3673333333333333
12511,S.C.A.R.S,3,1998.0,3,1,0.05,0.01,0.0,0.0,0.002
3317,Petz: Dogz Pack,9,2008.0,7,1,0.56,0.0,0.0,0.05,0.0203333333333333
598,Ratchet & Clank: Up Your Arsenal,15,2004.0,2,1,1.31,0.74,0.31,0.22,0.0856666666666666
9877,Disney's Extreme Skate Adventure,4,2003.0,1,1,0.09,0.02,0.0,0.0,0.004
11886,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,15,2009.0,11,1,0.0,0.0,0.07,0.0,0.0023333333333333
10075,MySims SkyHeroes,16,2010.0,8,1,0.08,0.02,0.0,0.01,0.0036666666666666
14218,Young Justice: Legacy,5,2013.0,8,1,0.0,0.03,0.0,0.0,0.001
3380,Asphalt: Urban GT,9,2004.0,3,1,0.31,0.22,0.0,0.06,0.02
4910,Laser Blast,21,1981.0,8,1,0.37,0.02,0.0,0.0,0.013
330,Super Paper Mario,5,2007.0,2,1,1.98,0.88,0.59,0.32,0.1253333333333333
5665,NBA 2K3,11,2002.0,1,1,0.24,0.07,0.0,0.01,0.0106666666666666
4729,Dig Dug,1,1985.0,5,1,0.0,0.0,0.41,0.0,0.0136666666666666
15148,Sacred 3,20,2014.0,4,1,0.0,0.02,0.0,0.0,0.0006666666666666
2491,Dance Central 3,12,2012.0,12,1,0.57,0.2,0.0,0.06,0.0276666666666666
6475,Virtua Racing,23,1994.0,3,1,0.0,0.0,0.26,0.0,0.0086666666666666
3511,Far Cry Instincts,11,2005.0,6,1,0.32,0.24,0.0,0.02,0.019
405,Ratchet & Clank,15,2002.0,2,1,1.44,1.01,0.57,0.3,0.111
2753,X-Men Origins: Wolverine - Uncaged Edition,16,2009.0,8,1,0.31,0.32,0.0,0.13,0.025
7192,Galactic Wrestling: Featuring Ultimate Muscle,15,2004.0,9,1,0.03,0.02,0.17,0.01,0.0073333333333333
10404,Dead to Rights II,11,2005.0,6,1,0.08,0.02,0.0,0.0,0.0036666666666666
2591,Band Hero,12,2009.0,12,1,0.51,0.22,0.0,0.07,0.0266666666666666
2572,The Sims 2: Pets,18,2006.0,7,1,0.19,0.39,0.0,0.22,0.0266666666666666
3952,Sonic Riders,15,2006.0,3,1,0.42,0.02,0.0,0.07,0.0166666666666666
13108,PAC-MAN and the Ghostly Adventures,6,2013.0,2,1,0.04,0.01,0.0,0.0,0.0016666666666666
3481,Contra: Shattered Soldier,15,2002.0,6,1,0.28,0.22,0.0,0.07,0.0193333333333333
2965,Need for Speed: Shift 2 Unleashed,16,2011.0,3,1,0.2,0.36,0.0,0.13,0.023
7896,Shaun White Skateboarding,5,2010.0,1,1,0.14,0.03,0.0,0.01,0.0063333333333333
2874,Conker: Live And Reloaded,11,2005.0,10,1,0.49,0.2,0.0,0.02,0.0236666666666666
10018,Jikkyou Powerful Pro Yakyuu 12 Ketteiban,15,2005.0,1,1,0.0,0.0,0.11,0.0,0.0036666666666666
1027,SSX Tricky,15,2001.0,1,1,0.85,0.66,0.0,0.22,0.0576666666666666
3544,FIFA World Cup Germany 2006,15,2006.0,1,1,0.47,0.02,0.0,0.08,0.019
3951,NHL 09,12,2008.0,1,1,0.45,0.01,0.0,0.04,0.0166666666666666
11405,My English Coach: Para Hispanoparlantes,9,2009.0,12,1,0.08,0.0,0.0,0.01,0.0026666666666666
13308,Silent Hunter: Wolves of the Pacific,20,2007.0,7,1,0.0,0.04,0.0,0.01,0.0016666666666666
11930,Mahjong Fight Club DS: Wi-Fi Taiou,9,2006.0,12,1,0.0,0.0,0.07,0.0,0.0023333333333333
2856,FIFA Soccer 11,9,2010.0,1,1,0.13,0.5,0.0,0.09,0.024
12218,One Piece: Unlimited World Red,6,2014.0,8,1,0.0,0.04,0.02,0.0,0.0023333333333333
72,Donkey Kong Country,2,1994.0,2,1,4.36,1.71,3.0,0.23,0.31
16540,Transformers: Fall of Cybertron,20,2012.0,8,1,0.01,0.0,0.0,0.0,0.0003333333333333
7662,NFL Street 2,4,2004.0,1,1,0.15,0.04,0.0,0.01,0.0066666666666666
8106,Guitar Hero Live,6,2015.0,12,1,0.12,0.04,0.0,0.02,0.006
7471,Heisei Kyouiku linkai DS,9,2006.0,12,1,0.0,0.0,0.21,0.0,0.007
6511,Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,8,2006.0,12,1,0.14,0.05,0.07,0.01,0.0086666666666666
4913,Thrasher Presents: Skate and Destroy,14,1998.0,1,1,0.22,0.15,0.0,0.03,0.013
7300,Shrek SuperSlam,4,2005.0,8,1,0.17,0.04,0.0,0.01,0.0073333333333333
14631,Whiteout,11,2002.0,3,1,0.02,0.01,0.0,0.0,0.001
11023,Seven: Molmorth no Kiheitai,15,2000.0,8,1,0.0,0.0,0.09,0.0,0.003
16041,Totally Spies! Totally Party,15,2008.0,12,1,0.01,0.01,0.0,0.0,0.0003333333333333
5301,SimCity Creator,9,2008.0,7,1,0.3,0.03,0.0,0.03,0.0116666666666666
2921,The Sims 3,9,2010.0,7,1,0.39,0.25,0.0,0.06,0.0233333333333333
15185,Quake 4,20,2005.0,6,1,0.0,0.02,0.0,0.0,0.0006666666666666
2898,Doom 3: Resurrection of Evil,11,2005.0,6,1,0.53,0.15,0.0,0.03,0.0236666666666666
2786,Naruto Shippuden: Ultimate Ninja Storm Generations,16,2012.0,9,1,0.27,0.25,0.14,0.08,0.0246666666666666
1676,Dragon Ball Z: La Legende Saien,2,1993.0,9,1,0.0,0.0,1.2,0.0,0.04
13618,The Sims 2: Pets,20,2006.0,7,1,0.01,0.02,0.0,0.01,0.0013333333333333
6244,True Crime: New York City,11,2005.0,8,1,0.21,0.06,0.0,0.01,0.0093333333333333
449,Mass Effect 2,12,2010.0,4,1,1.99,0.82,0.03,0.27,0.1036666666666666
7437,Batman Begins,11,2005.0,8,1,0.16,0.04,0.0,0.01,0.007
3350,Tony Hawk: RIDE,16,2009.0,1,1,0.38,0.15,0.0,0.08,0.02
3560,LEGO Dimensions,12,2015.0,8,1,0.24,0.28,0.0,0.05,0.0186666666666666
2389,NCAA Football 13,16,2012.0,8,1,0.82,0.0,0.0,0.06,0.029
6748,Monster Hunter G,5,2009.0,4,1,0.0,0.0,0.25,0.0,0.0083333333333333
2465,Dragon Age II,16,2011.0,8,1,0.4,0.27,0.05,0.12,0.028
10801,Mind Quiz,18,2006.0,8,1,0.08,0.01,0.0,0.01,0.0033333333333333
6619,Journey,16,2012.0,10,1,0.04,0.15,0.0,0.06,0.0083333333333333
55,Gran Turismo 5,16,2010.0,3,1,2.96,4.88,0.81,2.12,0.359
8395,Bakugan Battle Brawlers: Defenders of the Core,5,2010.0,8,1,0.15,0.01,0.0,0.01,0.0056666666666666
1144,Baseball,7,1989.0,1,1,0.66,0.27,0.65,0.03,0.0536666666666666
4107,Tiger Woods PGA Tour 07,12,2006.0,1,1,0.44,0.0,0.0,0.04,0.016
15434,Kokoro Connect: Yochi Random,18,2012.0,8,1,0.0,0.0,0.02,0.0,0.0006666666666666
3115,Advance Wars 2: Black Hole Rising,8,2003.0,11,1,0.47,0.17,0.0,0.01,0.0216666666666666
13858,Sid Meier's Railroads!,20,2006.0,7,1,0.01,0.03,0.0,0.01,0.0013333333333333
12597,Sacred 3,12,2014.0,4,1,0.03,0.03,0.0,0.01,0.002
7035,Yu-Gi-Oh! GX: Duel Academy,8,2005.0,12,1,0.17,0.06,0.0,0.0,0.0076666666666666
14817,Madden NFL 07,8,2006.0,1,1,0.02,0.01,0.0,0.0,0.001
13612,BeatMania IIDX 16: Empress + Premium Best,15,2009.0,7,1,0.0,0.0,0.04,0.0,0.0013333333333333
8314,Pursuit Force: Extreme Justice,18,2007.0,8,1,0.07,0.07,0.0,0.03,0.0056666666666666
7230,Tales of Graces,5,2009.0,4,1,0.0,0.0,0.22,0.0,0.0073333333333333
10096,GoldenEye: Rogue Agent,9,2005.0,6,1,0.1,0.0,0.0,0.01,0.0036666666666666
9381,SingStar Latino,15,2007.0,12,1,0.07,0.05,0.0,0.02,0.0043333333333333
12150,FIFA Soccer 06,8,2005.0,1,1,0.05,0.02,0.0,0.0,0.0023333333333333
6020,Ford Mustang: The Legend Lives,15,2005.0,3,1,0.14,0.11,0.0,0.04,0.0096666666666666
1727,Medal of Honor: Warfighter,12,2012.0,8,1,0.58,0.47,0.01,0.1,0.039
3082,LEGO Marvel Super Heroes,19,2013.0,8,1,0.15,0.35,0.0,0.16,0.022
2601,Rayman Origins,12,2011.0,2,1,0.38,0.34,0.0,0.08,0.0263333333333333
15840,FIFA Soccer 08,20,2007.0,1,1,0.0,0.01,0.0,0.0,0.0006666666666666
3843,NBA Live 09,16,2008.0,1,1,0.46,0.0,0.02,0.04,0.0173333333333333
2742,[Prototype 2],16,2012.0,8,1,0.36,0.28,0.0,0.11,0.025
1337,SimCity (2013),20,2013.0,7,1,0.48,0.77,0.0,0.19,0.048
7691,Barbie Horse Adventures: Riding Camp,5,2008.0,1,1,0.18,0.0,0.0,0.01,0.0066666666666666
4744,Monopoly Streets,16,2010.0,12,1,0.16,0.18,0.0,0.07,0.0136666666666666
5393,Bee Movie Game,5,2007.0,8,1,0.31,0.01,0.0,0.03,0.0113333333333333
5099,Kingdom Under Fire: Circle of Doom,12,2007.0,4,1,0.18,0.12,0.04,0.04,0.0123333333333333
7808,Major League Baseball 2K12,16,2012.0,1,1,0.18,0.0,0.0,0.01,0.0063333333333333
7176,Hamtaro: Ham-Ham Games,8,2004.0,1,1,0.16,0.06,0.0,0.0,0.0073333333333333
6286,Littlest Pet Shop: Beach Friends,9,2009.0,7,1,0.25,0.0,0.0,0.02,0.009
11323,Konami Classics Vol. 1,12,2009.0,12,1,0.08,0.0,0.0,0.01,0.0026666666666666
5262,Wonder Pets! Save the Animals!,9,2008.0,10,1,0.33,0.0,0.0,0.02,0.012
14000,Without Warning,15,2005.0,6,1,0.02,0.01,0.0,0.0,0.0013333333333333
2335,Classic NES Series: The Legend of Zelda,8,2004.0,10,1,0.46,0.17,0.24,0.02,0.0296666666666666
418,L.A. Noire,16,2011.0,10,1,1.27,1.33,0.12,0.51,0.1076666666666666
7668,Bleach: The 3rd Phantom,9,2008.0,4,1,0.1,0.02,0.07,0.01,0.0066666666666666
2125,Madden NFL 16,12,2015.0,1,1,0.82,0.05,0.0,0.1,0.0326666666666666
9894,One Piece: Super Grand Battle! X,10,2014.0,9,1,0.0,0.0,0.12,0.0,0.004
6932,Nintendo Presents: Crossword Collection,9,2009.0,5,1,0.0,0.21,0.0,0.02,0.008
5586,Championship Bass,14,1999.0,1,1,0.18,0.12,0.0,0.02,0.0106666666666666
2064,Game & Watch Gallery,7,1997.0,12,1,0.63,0.25,0.09,0.03,0.0333333333333333
11287,RockMan EXE 4.5 Real Operation,8,2004.0,4,1,0.0,0.0,0.08,0.0,0.0026666666666666
6931,TrackMania: Build to Race,5,2010.0,3,1,0.1,0.11,0.0,0.03,0.008
7247,Kartia: The Word of Fate,14,1998.0,11,1,0.05,0.03,0.12,0.01,0.0073333333333333
3444,Just Dance 2016,6,2015.0,12,1,0.28,0.25,0.0,0.05,0.0193333333333333
10033,SingStar Latino,16,2009.0,12,1,0.11,0.0,0.0,0.01,0.0036666666666666
12841,Minna to Kimi no Piramekino!,9,2010.0,12,1,0.0,0.0,0.05,0.0,0.0016666666666666
6220,Patapon 3,18,2011.0,12,1,0.05,0.04,0.17,0.02,0.0093333333333333
7975,J-League Pro Soccer Club o Tsukurou! 5,15,2007.0,1,1,0.0,0.0,0.19,0.0,0.0063333333333333
2593,Tales of Destiny 2,15,2002.0,4,1,0.0,0.0,0.8,0.0,0.0266666666666666
4179,Shadowrun,12,2007.0,4,1,0.41,0.02,0.0,0.04,0.0156666666666666
10781,EyeCreate,16,2007.0,12,1,0.0,0.08,0.0,0.02,0.0033333333333333
8902,Cardinal Syn,14,1998.0,9,1,0.08,0.06,0.0,0.01,0.005
1986,MySims Agents,5,2009.0,10,1,0.62,0.32,0.0,0.1,0.035
2108,Far Cry 3,20,2012.0,6,1,0.21,0.62,0.0,0.14,0.0326666666666666
11655,Madden NFL 08,4,2007.0,1,1,0.06,0.02,0.0,0.0,0.0026666666666666
7292,Code Name: S.T.E.A.M.,10,2015.0,11,1,0.14,0.05,0.01,0.02,0.0073333333333333
5768,J-League Winning Eleven 2007: Club Championship,15,2007.0,1,1,0.0,0.0,0.31,0.0,0.0103333333333333
6973,Buffy the Vampire Slayer,11,2002.0,8,1,0.18,0.05,0.0,0.01,0.0076666666666666
9698,Gundam Battle Royale,18,2006.0,8,1,0.0,0.0,0.12,0.0,0.004
109,Mario Kart 8,6,2014.0,3,1,3.13,2.07,1.27,0.49,0.232
14522,Petz: Dolphinz Encounter,9,2009.0,7,1,0.01,0.01,0.0,0.0,0.001
1189,Donkey Kong Classics,1,1988.0,2,1,0.59,0.14,0.81,0.02,0.052
336,Pokémon Trading Card Game,7,1998.0,11,1,1.49,0.73,1.38,0.1,0.1233333333333333
12678,Real Soccer 2009,9,2008.0,1,1,0.05,0.0,0.0,0.0,0.002
15129,Jitsumei Jikkyou Keiba Dream Classic 2002,15,2002.0,1,1,0.0,0.0,0.02,0.0,0.0006666666666666
8462,Parodius,25,1995.0,6,1,0.0,0.0,0.16,0.0,0.0056666666666666
13096,Rave Master,4,2002.0,9,1,0.0,0.0,0.05,0.0,0.0016666666666666
14543,Commander: Conquest of the Americas,20,2010.0,11,1,0.0,0.02,0.0,0.01,0.001
7526,Major League Baseball 2K11,16,2011.0,1,1,0.15,0.03,0.0,0.02,0.0066666666666666
6140,Marvel Nemesis: Rise of the Imperfects,11,2005.0,9,1,0.21,0.06,0.0,0.01,0.0093333333333333
3602,Batman Begins,15,2005.0,8,1,0.27,0.21,0.0,0.07,0.0186666666666666
9948,Lost Horizon,20,2010.0,10,1,0.0,0.1,0.0,0.02,0.004
11868,TMNT: Mutant Melee,4,2005.0,9,1,0.06,0.01,0.0,0.0,0.0023333333333333
12070,Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,9,2010.0,4,1,0.0,0.0,0.07,0.0,0.0023333333333333
12795,Imagine: Party Planner,9,2009.0,7,1,0.05,0.0,0.0,0.0,0.002
